missing_frac,seed,method,nrmse
0.25,555,knn_k10,0.9651768995328972
0.25,555,knn_k5,0.980942878272216
0.25,555,softimpute,0.9801698733063255
0.25,555,masked_nmf,0.9900164213921288
0.25,555,missforest,0.9612443048357314
0.25,31337,knn_k10,0.9950514572290512
0.25,31337,knn_k5,1.0035206741059342
0.25,31337,softimpute,0.9827940941764522
0.25,31337,masked_nmf,1.021034084613344
0.25,31337,missforest,1.005028424424092
0.3,123,knn_k10,1.0289618939421887
0.3,123,knn_k5,1.0531287622978731
0.3,123,softimpute,1.0011236285738672
0.3,123,masked_nmf,1.0170803884789843
0.3,123,missforest,1.0001028730332828
0.3,456,knn_k10,1.0524053699752909
0.3,456,knn_k5,1.0743562983979442
0.3,456,softimpute,0.972111531527665
0.3,456,masked_nmf,1.036012174508704
0.3,456,missforest,1.0195202223323112
0.3,789,knn_k10,1.0032855921760124
0.3,789,knn_k5,1.0334447394245816
0.3,789,softimpute,1.00116172326171
0.3,789,masked_nmf,1.053683428635977
0.3,789,missforest,1.0041654201823151
0.3,1024,knn_k10,1.0331124349022829
0.3,1024,knn_k5,1.042930491953148
0.3,1024,softimpute,0.9711700744497199
0.3,1024,masked_nmf,1.0044038686506336
0.3,1024,missforest,0.9843993888593274
0.3,1337,knn_k10,1.0318028833318782
0.3,1337,knn_k5,1.0671211079570349
0.3,1337,softimpute,1.0005742789970251
0.3,1337,masked_nmf,1.0769205685262957
0.3,1337,missforest,1.015207959550827
0.3,2024,knn_k10,1.0108751874256008
0.3,2024,knn_k5,1.0175747960677637
0.3,2024,softimpute,1.0017564675327861
0.3,2024,masked_nmf,1.0443780172012735
0.3,2024,missforest,1.018884997359311
0.3,7,knn_k10,1.0172046348840398
0.3,7,knn_k5,1.0482129879687694
0.3,7,softimpute,0.9753579452952941
0.3,7,masked_nmf,1.0022842385275863
0.3,7,missforest,1.0019330602290433
0.3,99,knn_k10,1.0204917631191293
0.3,99,knn_k5,1.0242023286966988
0.3,99,softimpute,0.9897956618325168
0.3,99,masked_nmf,1.0095486427413844
0.3,99,missforest,0.9550161843447362
0.3,555,knn_k10,1.0204066896775814
0.3,555,knn_k5,1.041388461372065
0.3,555,softimpute,0.9920547288681194
0.3,555,masked_nmf,1.024313349374647
0.3,555,missforest,0.9978575990042126
0.3,31337,knn_k10,1.0301574178435933
0.3,31337,knn_k5,1.046809590323834
0.3,31337,softimpute,0.9934811906268678
0.3,31337,masked_nmf,1.0495298712786547
0.3,31337,missforest,1.0519976905697328
0.35,123,knn_k10,1.0342244191278112
0.35,123,knn_k5,1.0562089285609435
0.35,123,softimpute,1.03824987852807
0.35,123,masked_nmf,1.0360631276233216
0.35,123,missforest,1.0319463021144222
0.35,456,knn_k10,1.029402620371525
0.35,456,knn_k5,1.0318949091292533
0.35,456,softimpute,0.9924182541335594
0.35,456,masked_nmf,1.0666192688220966
0.35,456,missforest,1.0082494419596133
0.35,789,knn_k10,1.007307452704466
0.35,789,knn_k5,1.03103172218463
0.35,789,softimpute,0.9964269809798106
0.35,789,masked_nmf,1.0426057995979952
0.35,789,missforest,1.0016764115804313
0.35,1024,knn_k10,1.052658699402294
0.35,1024,knn_k5,1.0776678324194744
0.35,1024,softimpute,0.9832296839480167
0.35,1024,masked_nmf,1.025765169338086
0.35,1024,missforest,1.0005633743040947
0.35,1337,knn_k10,1.0679820812707714
0.35,1337,knn_k5,1.0984497023421116
0.35,1337,softimpute,1.0340612178401354
0.35,1337,masked_nmf,1.1133686092489898
