clf_seed,method,clf_acc,clf_f1,cov_relerr,prec_relerr
3,mice,0.7589519650655021,0.6500392993971545,225.34983119343394,0.9894482296884322
4,mice,0.7615720524017469,0.6485902894618182,225.34983119343394,0.9894482296884322
5,mice,0.7624454148471616,0.6679534583603339,225.34983119343394,0.9894482296884322
6,mice,0.7641921397379912,0.6707091043676723,225.34983119343394,0.9894482296884322
7,mice,0.7624454148471616,0.6663704669919492,225.34983119343394,0.9894482296884322
8,mice,0.7537117903930131,0.6506395548455435,225.34983119343394,0.9894482296884322
9,mice,0.7624454148471616,0.6598690005383013,225.34983119343394,0.9894482296884322
0,iterativesvd,0.7554585152838429,0.6645042717660543,224.5455167869369,0.9894354758747144
1,iterativesvd,0.7676855895196507,0.6779887454416322,224.5455167869369,0.9894354758747144
2,iterativesvd,0.7633187772925764,0.6733652980961902,224.5455167869369,0.9894354758747144
3,iterativesvd,0.7606986899563319,0.663055335189995,224.5455167869369,0.9894354758747144
4,iterativesvd,0.7528384279475983,0.6539819076224289,224.5455167869369,0.9894354758747144
5,iterativesvd,0.7668122270742358,0.667776600708758,224.5455167869369,0.9894354758747144
6,iterativesvd,0.765938864628821,0.685908446520375,224.5455167869369,0.9894354758747144
7,iterativesvd,0.7624454148471616,0.6703450204724625,224.5455167869369,0.9894354758747144
8,iterativesvd,0.7519650655021834,0.6508994305440792,224.5455167869369,0.9894354758747144
9,iterativesvd,0.759825327510917,0.6627947357268117,224.5455167869369,0.9894354758747144
0,missforest,0.7589519650655021,0.6614514528004299,224.60445234611174,0.9894579115526589
1,missforest,0.7685589519650655,0.6732457143088081,224.60445234611174,0.9894579115526589
2,missforest,0.7449781659388647,0.6414960102520337,224.60445234611174,0.9894579115526589
3,missforest,0.7493449781659388,0.6304005836040236,224.60445234611174,0.9894579115526589
4,missforest,0.7493449781659389,0.6436780619276641,224.60445234611174,0.9894579115526589
5,missforest,0.7502183406113537,0.6546494684865378,224.60445234611174,0.9894579115526589
6,missforest,0.7537117903930131,0.6592326252291805,224.60445234611174,0.9894579115526589
7,missforest,0.7537117903930131,0.6515809746893126,224.60445234611174,0.9894579115526589
8,missforest,0.7519650655021834,0.6409861039822989,224.60445234611174,0.9894579115526589
9,missforest,0.7493449781659389,0.6469992760666545,224.60445234611174,0.9894579115526589
0,pica,0.7606986899563318,0.648276213100684,224.4983426050577,0.9893963268475098
1,pica,0.7676855895196507,0.6499772321391959,224.4983426050577,0.9893963268475098
2,pica,0.7510917030567686,0.6522989259680917,224.4983426050577,0.9893963268475098
3,pica,0.7563318777292576,0.6342159888319672,224.4983426050577,0.9893963268475098
4,pica,0.7633187772925764,0.6453883419777399,224.4983426050577,0.9893963268475098
5,pica,0.7572052401746725,0.6633999751563286,224.4983426050577,0.9893963268475098
6,pica,0.765938864628821,0.6618438227761856,224.4983426050577,0.9893963268475098
7,pica,0.7589519650655022,0.6417615717729936,224.4983426050577,0.9893963268475098
8,pica,0.7563318777292578,0.6433405204548114,224.4983426050577,0.9893963268475098
9,pica,0.7589519650655022,0.6541121992425596,224.4983426050577,0.9893963268475098
