mechanism,missing_frac,seed,method,nrmse,nrmse_refnorm
mcar,0.15,789,knn_k10,0.7877100899917462,0.6776235919681306
mcar,0.15,789,knn_k5,0.7900589083254947,0.7052216262039308
mcar,0.15,789,softimpute,0.8759884784963361,0.6738210619755878
mcar,0.15,1024,knn_k10,0.7804983612070635,0.6253934563738797
mcar,0.15,1024,knn_k5,0.7793771898870979,0.676127288932585
mcar,0.15,1024,softimpute,0.8494158001929756,0.6396643782787514
mcar,0.15,1337,knn_k10,0.778198152284568,0.6368439635630065
mcar,0.15,1337,knn_k5,0.8176243981261996,0.6288740639071426
mcar,0.15,1337,softimpute,0.8625745370924248,0.6716963137632364
mcar,0.15,2024,knn_k10,0.8087218861267376,0.7610697907553721
mcar,0.15,2024,knn_k5,0.8023075828591038,0.7511615272550093
mcar,0.15,2024,softimpute,0.8718641193172384,0.7705736123211041
mcar,0.15,7,knn_k10,0.7372607025230222,0.5898821457367773
mcar,0.15,7,knn_k5,0.7506181027501386,0.6020510178470431
mcar,0.15,7,softimpute,0.8380093800463878,0.6476966433577069
mcar,0.15,99,knn_k10,0.7951603870208168,0.7061894269856865
mcar,0.15,99,knn_k5,0.8015380504424718,0.7086989070409038
mcar,0.15,99,softimpute,0.8471076201644259,0.7541404417716384
mcar,0.15,555,knn_k10,0.7545976101106366,0.6650043740621803
mcar,0.15,555,knn_k5,0.7473003162060013,0.7014666642508762
mcar,0.15,555,softimpute,0.8686720225272699,0.6963844479758086
mcar,0.15,31337,knn_k10,0.8063158059177292,0.5840655778010061
mcar,0.15,31337,knn_k5,0.8033481940449607,0.594144226636218
mcar,0.15,31337,softimpute,0.8300170717363399,0.6498798374765327
mcar,0.2,123,knn_k10,0.8765080382863804,0.9341078552313198
mcar,0.2,123,knn_k5,0.8785374943076615,0.9410930894921764
mcar,0.2,123,softimpute,0.8909409579698412,0.908147543403796
mcar,0.2,456,knn_k10,0.8519160881077639,0.7915687092323583
mcar,0.2,456,knn_k5,0.8611383885096243,0.8137888166021736
mcar,0.2,456,softimpute,0.8804101643998036,0.8157235929526446
mcar,0.2,789,knn_k10,0.8754617633923821,0.814449294713626
mcar,0.2,789,knn_k5,0.8797525432462376,0.8223181376424618
mcar,0.2,789,softimpute,0.8615875231247478,0.7295743777573979
mcar,0.2,1024,knn_k10,0.8471966513849803,0.7478511359511966
mcar,0.2,1024,knn_k5,0.855033924725733,0.769579352845712
mcar,0.2,1024,softimpute,0.8898998501181817,0.6872277008972395
mcar,0.2,1337,knn_k10,0.8301897047639877,0.6866630154282816
mcar,0.2,1337,knn_k5,0.8377374948931392,0.6816460956992729
mcar,0.2,1337,softimpute,0.8553569028277856,0.6865338593937818
mcar,0.2,2024,knn_k10,0.8370342075368112,0.8642881411025801
mcar,0.2,2024,knn_k5,0.8458329252552517,0.8787806189933449
mcar,0.2,2024,softimpute,0.8590741364450472,0.7718467686344908
mcar,0.2,7,knn_k10,0.8424440446514561,0.7841491667517946
mcar,0.2,7,knn_k5,0.8462471252708111,0.786240593088906
mcar,0.2,7,softimpute,0.8311694700049423,0.770341665450059
mcar,0.2,99,knn_k10,0.8295356453922196,0.7631555054761365
mcar,0.2,99,knn_k5,0.8673108188144705,0.7674103350035715
mcar,0.2,99,softimpute,0.8698482910640037,0.7744059340242233
mcar,0.2,555,knn_k10,0.8458934397970848,0.7587026024499233
mcar,0.2,555,knn_k5,0.8859885656410502,0.8031053942267963
mcar,0.2,555,softimpute,0.8740074567080095,0.7542913663201192
mcar,0.2,31337,knn_k10,0.8613342429674802,0.7138831151568176
mcar,0.2,31337,knn_k5,0.8534600653898152,0.7667592040037678
mcar,0.2,31337,softimpute,0.8675590108007858,0.6783317328745404
mcar,0.25,123,knn_k10,0.9277747644783776,0.9739796634495266
mcar,0.25,123,knn_k5,0.9395156600711724,0.9979119262673845
mcar,0.25,123,softimpute,0.8653309341249195,0.9296731040776588
mcar,0.25,456,knn_k10,0.8833419400532909,0.8714366139181051
mcar,0.25,456,knn_k5,0.8929152657394914,0.8886721462706297
mcar,0.25,456,softimpute,0.9001373998435067,0.8330941750912904
mcar,0.25,789,knn_k10,0.9263539021680108,0.8455720918704341
mcar,0.25,789,knn_k5,0.9375718587989064,0.8721938937811164
mcar,0.25,789,softimpute,0.8743467551646615,0.7738070927206165
mcar,0.25,1024,knn_k10,0.9104839207238424,0.8506458122606397
mcar,0.25,1024,knn_k5,0.9252449687356052,0.960293009829004
mcar,0.25,1024,softimpute,0.8752423485084933,0.7297377574893993
mcar,0.25,1337,knn_k10,0.881198152820837,0.7405090048471124
mcar,0.25,1337,knn_k5,0.8885736147163308,0.7421091158971909
mcar,0.25,1337,softimpute,0.8555160222107228,0.7492128463968005
mcar,0.25,2024,knn_k10,0.8838169239560033,0.9083343284805548
mcar,0.25,2024,knn_k5,0.9099131089552764,0.9291870420526308
mcar,0.25,2024,softimpute,0.8932989406148969,0.7813524404895756
mcar,0.25,7,knn_k10,0.9028865807987632,0.8950374628019344
mcar,0.25,7,knn_k5,0.916139781057649,0.9083052778582458
mcar,0.25,7,softimpute,0.8417796920137189,0.7639970121775946
mcar,0.25,99,knn_k10,0.9371344043422124,0.8461646083008857
mcar,0.25,99,knn_k5,0.9411993768852518,0.8739804883463898
mcar,0.25,99,softimpute,0.903924765156675,0.8162796345147829
mcar,0.25,555,knn_k10,0.932376911395496,0.8488011737347991
mcar,0.25,555,knn_k5,0.940135897047434,0.8810704452177593
mcar,0.25,555,softimpute,0.9089489087868816,0.7656713346046589
mcar,0.25,31337,knn_k10,0.920805136784715,0.8604393390000619
mcar,0.25,31337,knn_k5,0.947009577968349,0.8642371180999664
mcar,0.25,31337,softimpute,0.9004896545819872,0.7395208811456446
mcar,0.3,123,knn_k10,0.960975330028896,1.1041050262541798
mcar,0.3,123,knn_k5,0.9679027849597508,1.1130097492306463
mcar,0.3,123,softimpute,0.8649510555588507,0.8989466571206943
mcar,0.3,456,knn_k10,0.9398381610642216,0.924608300953876
mcar,0.3,456,knn_k5,0.9522158483365416,0.946950407610206
mcar,0.3,456,softimpute,0.908448253682183,0.858578657359248
mcar,0.3,789,knn_k10,0.9645694912818524,0.9636564096384792
mcar,0.3,789,knn_k5,0.9816019764538568,0.997789518175829
mcar,0.3,789,softimpute,0.8821095199557891,0.8444409555521815
mcar,0.3,1024,knn_k10,0.9772216803933558,1.016953256834877
mcar,0.3,1024,knn_k5,1.002283836727189,1.0343226068127935
mcar,0.3,1024,softimpute,0.862885167101054,0.7889335825634036
mcar,0.3,1337,knn_k10,0.953979321123851,0.8346415134391842
mcar,0.3,1337,knn_k5,0.9632286373995018,0.8769173481338489
mcar,0.3,1337,softimpute,0.8909753068721031,0.7724029750823413
mcar,0.3,2024,knn_k10,0.9853660134911902,0.9917447341547148
mcar,0.3,2024,knn_k5,0.9851735350510208,1.0259944056784636
mcar,0.3,2024,softimpute,0.8855854090429072,0.8291562046830971
mcar,0.3,7,knn_k10,0.953600174211956,0.8985346857826494
mcar,0.3,7,knn_k5,0.9833753638321344,0.9388435132767734
mcar,0.3,7,softimpute,0.8573477272885892,0.8224584492464095
mcar,0.3,99,knn_k10,0.9744375698391594,0.9170001653207018
mcar,0.3,99,knn_k5,0.9829322656273702,0.937591526246654
