method,target,regressor,r2_mean,r2_std,rmse_mean
mice,Carbohydrate,ridge,0.9516309830776516,0.002084904923544635,5.340470654615598
mice,Fat,knr,0.7354428599293221,0.026170439041238697,6.786163231604641
mice,Fat,rf,0.9489082197846335,0.003859436021306978,3.007041492816394
mice,Fat,ridge,0.9629767858103202,0.00836671117384132,2.4396108442603737
mice,Iron,knr,0.018293464995685012,0.01218048321240934,5.424820700531676
mice,Iron,rf,0.10456151352197898,0.05694808036842149,5.1871637828067785
mice,Iron,ridge,0.02505874973710496,0.06688194965582005,5.4121146091861485
mice,Protein,knr,0.6586057533712205,0.014931714855580206,6.641342005068592
mice,Protein,rf,0.735339063722584,0.005994286068218661,5.861729755416205
mice,Protein,ridge,0.6761647998898729,0.0457873764673966,5.891746425993533
mice,Vitamin_C,knr,0.13866341831636023,0.02414229195057489,23.698208762905146
mice,Vitamin_C,rf,0.20967634963215623,0.0167502128232798,22.649680490694845
mice,Vitamin_C,ridge,0.08577220133272698,0.03560563007380513,24.43019790154251
missforest,Calcium,knr,0.4228157107794398,0.030525678668149765,239.6826509229198
missforest,Calcium,rf,0.38023891626855844,0.07884253437548908,244.595634924903
missforest,Calcium,ridge,-0.09732243756950062,0.3409869266281327,310.3625480406622
missforest,Carbohydrate,knr,0.8123913367141051,0.006916485666308618,10.705398598450115
missforest,Carbohydrate,rf,0.9129759020995513,0.0048599043428563604,7.263427635675102
missforest,Carbohydrate,ridge,0.952507175344171,0.0017995369848583847,5.268968648674623
missforest,Fat,knr,0.7284002185743341,0.03620997073516256,6.911742695337732
missforest,Fat,rf,0.9492136806082625,0.0037036303009228243,2.9973904623829455
missforest,Fat,ridge,0.9661507003597654,0.006148168317743589,2.3506217728321355
missforest,Iron,knr,0.03192639351604172,0.03922857738763409,5.380657773674169
missforest,Iron,rf,0.11449977577183497,0.056880270460290615,5.111022121239289
missforest,Iron,ridge,-0.038817830687904724,0.09011104557568858,5.55528403207684
missforest,Protein,knr,0.6426508507285015,0.014908079332036132,6.801108752163695
missforest,Protein,rf,0.6927562306896847,0.006288251802171706,6.311612721151036
missforest,Protein,ridge,0.7664301476580974,0.03817643155302764,5.305281552652291
missforest,Vitamin_C,knr,0.11979596981860621,0.02418525115187963,24.016695366352103
missforest,Vitamin_C,rf,0.197699327604009,0.02484456678298234,22.910780070250212
missforest,Vitamin_C,ridge,0.051585325513727874,0.09905781864294204,24.646876856040443
pica,Calcium,knr,0.4333685126626837,0.03268503422657093,238.73397176576245
pica,Calcium,rf,0.4061155050777462,0.07673171170661659,239.39672303166898
pica,Calcium,ridge,-0.016331894717509267,0.3861276984207725,302.3216177993203
pica,Carbohydrate,knr,0.8145578260523356,0.005138994418234073,10.6706163996082
pica,Carbohydrate,rf,0.9178660792140269,0.003395399721035341,7.05860659868317
pica,Carbohydrate,ridge,0.9478121702543622,0.004734543552724347,5.5622839588095685
pica,Fat,knr,0.7325532132089448,0.02542641390400344,6.80834390707677
pica,Fat,rf,0.9497823563925234,0.003946981434981967,2.983375900250112
pica,Fat,ridge,0.9481457990258629,0.030680294074918044,2.62274486641423
pica,Iron,knr,0.005503298007991364,0.054658318155244835,5.443712556136399
pica,Iron,rf,0.11735833138184479,0.05217042354247221,5.122159448995618
pica,Iron,ridge,-0.39812628475567396,0.22514030559857753,6.002988419887936
pica,Protein,knr,0.6569051933086929,0.01742910699043897,6.67337639269468
pica,Protein,rf,0.7275948377148903,0.006342204061849105,5.949840988653159
pica,Protein,ridge,0.7997294777222731,0.016176659501971384,4.998565599763962
pica,Vitamin_C,knr,0.14252369704875748,0.039008852102947966,23.669494076113047
pica,Vitamin_C,rf,0.20114944690098618,0.01000937478560207,22.73937245851244
pica,Vitamin_C,ridge,0.08606053670909997,0.05347350901204524,24.38455144875087
softimpute,Calcium,knr,0.40393210395448637,0.03280968899603363,245.00596777921396
softimpute,Calcium,rf,0.4071051528568064,0.06627679644618603,240.93784341316564
softimpute,Calcium,ridge,-0.26605126486183217,0.6934084804762444,319.0741392530168
softimpute,Carbohydrate,knr,0.8145265691347993,0.004728541503311526,10.651473216382104
softimpute,Carbohydrate,rf,0.9083888775354222,0.0038155430247608473,7.439344245898336
softimpute,Carbohydrate,ridge,0.9491282761107442,0.003825462442705443,5.492680796079205
softimpute,Fat,knr,0.7502185491519768,0.0262274591944603,6.577561576190829
softimpute,Fat,rf,0.9502411214619064,0.0033147780677581485,2.970658142095293
softimpute,Fat,ridge,0.9482187944366902,0.030370244035029574,2.6319006207041085
softimpute,Iron,knr,0.03483679835929082,0.024638407987578066,5.386069623912459
softimpute,Iron,rf,0.12136469310891385,0.03290008422721438,5.1167506702552465
softimpute,Iron,ridge,-0.9197603418986079,0.402003100200498,6.544948635828457
softimpute,Protein,knr,0.672183031587817,0.005145435063627446,6.52504436922775
softimpute,Protein,rf,0.7078721255877395,0.006707979473245322,6.146532295483864
softimpute,Protein,ridge,0.7841648001534575,0.021905780020237096,5.166536758673399
softimpute,Vitamin_C,knr,0.16399263749126006,0.038007330174351144,23.38018249677075
softimpute,Vitamin_C,rf,0.1936846714107622,0.015142221890207055,22.876109517570505
softimpute,Vitamin_C,ridge,-0.0395248747200656,0.25818194446499837,25.162612619962047
