missing_frac,seed,method,nrmse
0.2,2024,iterativesvd,1.0049383109063854
0.2,2024,dae,0.9748921831913778
0.2,7,iterativesvd,1.0109306708026033
0.2,7,dae,0.9919939060602586
0.2,99,iterativesvd,0.9516518199529622
0.2,99,dae,0.946563810442984
0.2,555,iterativesvd,1.0103180829883593
0.2,555,dae,0.99228212708556
0.2,31337,iterativesvd,0.9899699018964575
0.2,31337,dae,0.9995807574806196
0.25,123,iterativesvd,1.0292577667557041
0.25,123,dae,1.0011130586304304
0.25,456,iterativesvd,0.9990428644020528
0.25,456,dae,0.919823759620386
0.25,789,iterativesvd,1.0131898586281598
0.25,789,dae,0.9814436783534224
0.25,1024,iterativesvd,0.9556868195136048
0.25,1024,dae,0.9707227233874716
0.25,1337,iterativesvd,1.0089538813977466
0.25,1337,dae,0.9627434550850108
0.25,2024,iterativesvd,1.0383638016395063
0.25,2024,dae,0.97028696665527
0.25,7,iterativesvd,1.1043866431741753
0.25,7,dae,0.987100960406372
0.25,99,iterativesvd,0.9645722367420667
0.25,99,dae,0.9650788383846408
0.25,555,iterativesvd,0.9939449102859266
0.25,555,dae,0.9658019505340268
0.25,31337,iterativesvd,1.0181169010901134
0.25,31337,dae,0.999427249920776
0.3,123,iterativesvd,1.0300223415994476
0.3,123,dae,0.9828248037324704
0.3,456,iterativesvd,0.9887052416696395
0.3,456,dae,0.9370883297241436
0.3,789,iterativesvd,1.0018242313239363
0.3,789,dae,0.9903234005812857
0.3,1024,iterativesvd,1.0022272752426784
0.3,1024,dae,0.9869255773559034
0.3,1337,iterativesvd,1.1313475244488593
0.3,1337,dae,1.018325258888152
0.3,2024,iterativesvd,1.034204743647538
0.3,2024,dae,0.9724061992967504
0.3,7,iterativesvd,1.0015901177689894
0.3,7,dae,0.9962677419697258
0.3,99,iterativesvd,1.01752618765895
0.3,99,dae,0.9476558121683182
0.3,555,iterativesvd,1.0473750104635993
0.3,555,dae,0.99507363140009
0.3,31337,iterativesvd,0.9876650383661666
0.3,31337,dae,0.9857427687011784
0.35,123,iterativesvd,1.1866797057384704
0.35,123,dae,0.9998832585152256
0.35,456,iterativesvd,1.0415549021626445
0.35,456,dae,0.9239085702478248
0.35,789,iterativesvd,1.009580343527256
0.35,789,dae,0.999919294002572
0.35,1024,iterativesvd,1.01296013040684
0.35,1024,dae,0.9858551755769244
0.35,1337,iterativesvd,1.1824141601641933
0.35,1337,dae,1.0170164852301025
0.35,2024,iterativesvd,1.0591929652242178
0.35,2024,dae,1.0015010801034656
0.35,7,iterativesvd,1.0547508672075439
0.35,7,dae,1.0266320878853783
0.35,99,iterativesvd,1.002523497168181
0.35,99,dae,0.9591123751481176
0.35,555,iterativesvd,1.0326323168560878
0.35,555,dae,0.9845696525766892
0.35,31337,iterativesvd,0.9952560662990205
