method,target,regressor,r2_mean,r2_std,rmse_mean
masked_nmf,Iron,knr,-0.09823088105677096,0.0492753908627454,5.679208767514639
masked_nmf,Iron,rf,-0.0632665287666607,0.05372980785226271,5.624790341934068
masked_nmf,Iron,ridge,0.09642844490988065,0.009064637053504788,5.246410207434835
masked_nmf,Protein,knr,0.7372977772907292,0.009386557216503935,5.8529430515405805
masked_nmf,Protein,rf,0.7629741028839121,0.011377721913914538,5.545293882470194
masked_nmf,Protein,ridge,0.6610512754548458,0.004515920839467134,6.588558017930154
masked_nmf,Vitamin_C,knr,-0.04750048018890411,0.03219600256249032,26.114011751249706
masked_nmf,Vitamin_C,rf,-0.050786351378011886,0.03111699247330377,26.1950241213222
masked_nmf,Vitamin_C,ridge,0.05209537022082842,0.010814017486424032,25.065516953635047
mean,Calcium,knr,0.43905491592415286,0.037131919773114364,238.01092688739763
mean,Calcium,rf,0.3765098226655625,0.0881316988361946,244.80616851382337
mean,Calcium,ridge,-0.16297158075609688,0.44219618566080926,316.0070548547425
mean,Carbohydrate,knr,0.8061030300850451,0.004401426610428952,10.896370385062497
mean,Carbohydrate,rf,0.9199206475455035,0.0036829999094503316,6.96267446688867
mean,Carbohydrate,ridge,0.9432571954853634,0.007350887792293536,5.778691140770847
mean,Fat,knr,0.7260779899367295,0.03139339463327999,6.884928282196472
mean,Fat,rf,0.9526032419208457,0.0037662388394659753,2.8939019855112695
mean,Fat,ridge,0.9463647906474082,0.03325636095024538,2.6431130308707558
mean,Iron,knr,0.006748556880075135,0.04107938435351889,5.441337454594789
mean,Iron,rf,0.11760624493873832,0.04050700551401302,5.126999714975031
mean,Iron,ridge,-0.6571903013398722,0.3150122595612537,6.298105241799732
mean,Protein,knr,0.6213380138157515,0.013398240997239765,7.006432855828424
mean,Protein,rf,0.7081790964535641,0.010009194819068304,6.143432114784683
mean,Protein,ridge,0.8004904662738657,0.01533845588045089,4.99250655638124
mean,Vitamin_C,knr,0.15574569760705534,0.041313963502263934,23.52260393517902
mean,Vitamin_C,rf,0.20374686632369055,0.012339130240484681,22.697719601994525
mean,Vitamin_C,ridge,0.03521217478537978,0.08039486339771977,24.849925027868927
median,Calcium,knr,0.4262830813023341,0.02600552702643015,241.410740811185
median,Calcium,rf,0.37707762033582626,0.08263749414513447,246.11401372434233
median,Calcium,ridge,-0.07125673653082046,0.34087440550110276,307.20960510211444
median,Carbohydrate,knr,0.8113250839148108,0.008188520006624098,10.76895947409985
median,Carbohydrate,rf,0.9200530840237116,0.0029534620841010616,6.954687900852633
median,Carbohydrate,ridge,0.9462466119369533,0.005838310693605016,5.636001773358514
median,Fat,knr,0.730608430702243,0.030745051416467325,6.817985043065365
median,Fat,rf,0.9518930066739599,0.0039802919383955596,2.9099629437489285
median,Fat,ridge,0.9524369206528618,0.024865744143268382,2.571041479224
median,Iron,knr,-0.019491946463776576,0.041920528514587954,5.487484200319926
median,Iron,rf,0.0689989329019625,0.045300964194108534,5.241564240814401
median,Iron,ridge,-1.0148559382239317,0.46313034540739373,6.586895370994793
median,Protein,knr,0.6265819301865763,0.014891521136736918,6.955686351198283
median,Protein,rf,0.7043693030823036,0.009984680765680393,6.181140760029157
median,Protein,ridge,0.811644120830249,0.00944535463339356,4.861984832791547
median,Vitamin_C,knr,0.1761142829244265,0.0291188556179888,23.238269762514815
median,Vitamin_C,rf,0.2007257002636771,0.0140979156343608,22.731625142061155
median,Vitamin_C,ridge,0.02323279465973069,0.1454836318452621,24.806342019369637
mice,Calcium,knr,0.4412794469489813,0.013089741085389081,237.17174708277767
mice,Calcium,rf,0.40361080734345034,0.08730633198901401,242.0257816583533
mice,Calcium,ridge,0.10749574618872852,0.2967484693929924,281.845696800051
mice,Carbohydrate,knr,0.8189468789507229,0.006266190581708211,10.533879235794917
