seed,method,frac,nrmse,clf_acc,clf_f1,cov_relerr,prec_relerr
1337,iterativesvd,0.3,0.850752311831662,0.7291759205590403,0.6315598215133864,0.3182073753487049,0.6665826803270214
1337,missforest,0.3,0.750895644568438,0.7837315137359326,0.7038685661719504,0.23387492629927914,0.6383800475601965
1337,pica,0.3,0.8210898402526303,0.7211572195664109,0.6214330934495711,0.2855316113494904,0.5498235496928965
2024,mean,0.3,1.000172173510236,0.7158811140251706,0.6015932345793333,0.4292670833637029,0.43457040235726646
2024,median,0.3,1.0226373159700284,0.7145120161912032,0.5920685868599059,0.42446582374434094,0.4444301178935132
2024,knn_k10,0.3,0.9119736645127674,0.7330865628700362,0.622896252272797,0.31738337270608835,0.3100983782093248
2024,softimpute,0.3,0.8717363380858885,0.7109973543910796,0.6087251244126242,0.27239435581486504,0.44366545849843214
2024,masked_nmf,0.3,1.0047790934616958,0.3283110761679034,0.25092396957825747,0.781191743837911,499.3004506916115
2024,mice,0.3,0.9968964903480227,0.7211631497093274,0.6173407794795353,0.28096164244704647,0.5105451799869298
2024,iterativesvd,0.3,0.939350978704519,0.7162734599323198,0.6087245804650883,0.3027181653490274,0.45055355069849656
2024,missforest,0.3,0.7825052251600324,0.7764988436221313,0.6767793343458559,0.20317189146461795,0.3801489902085087
2024,pica,0.3,0.8201258963100698,0.7168611179658463,0.6109208741363806,0.2579197585878671,0.4721588575442583
7,mean,0.3,1.0003536284456889,0.7104010880855778,0.5956905374820486,0.40467187919860975,0.4243053453895101
7,median,0.3,1.030231564785273,0.7213529142826536,0.5964593671086151,0.40022278497681635,0.43437522176240906
7,knn_k10,0.3,0.9184600928836272,0.7281972556828943,0.6268021839193739,0.2921207646234164,0.32701362672792
7,softimpute,0.3,0.8766128268007284,0.7074696845355264,0.6034135605475313,0.24448667802028923,0.4832073598201602
7,masked_nmf,0.3,0.997104484826826,0.3420007154430486,0.26547207958237184,0.7803117835800536,812.9668590360396
7,mice,0.3,0.8683081394341424,0.7070786776929066,0.601685161810865,0.20314755660117098,0.5187389143900375
7,iterativesvd,0.3,0.9211323739157915,0.7133367001241504,0.6060993332843296,0.29651750445076097,0.5213688722543907
7,missforest,0.3,0.6674956103674805,0.7671102796158032,0.6728436600777425,0.15842866809485567,0.4385880854980415
7,pica,0.3,0.8478578011106399,0.7080561947994559,0.6021876500657308,0.24454286612864723,0.45364373663919133
99,mean,0.3,1.0006125839649402,0.7211574108613437,0.6063065204239806,0.3637914077115008,0.39290298651405936
99,median,0.3,1.034565059809526,0.7227281335544703,0.5985114851433135,0.3589242247907673,0.40441830918252086
99,knn_k10,0.3,0.8665682996027277,0.7352384395689743,0.6300319880610218,0.24020782837768204,0.2947189145583822
99,softimpute,0.3,0.967677588548473,0.716074321907287,0.6120293080163963,0.31283436051116054,0.3219049336068646
99,masked_nmf,0.3,1.012051688513529,0.340243671485386,0.26152622561396716,0.7716778106296701,370.1787308468369
99,mice,0.3,0.9883232694546469,0.7190084035863974,0.6182766157283734,0.2198816908614789,0.5202748132644405
99,iterativesvd,0.3,0.9999518492578503,0.7246808722283756,0.628957791852362,0.4119148720005809,0.283579624543853
99,missforest,0.3,0.7725662476922803,0.7794308210569809,0.6921309576824267,0.1751449815631242,0.31678671410139797
99,pica,0.3,0.8868996628526251,0.7260493961775447,0.6240954967249802,0.2188090744026059,0.407744131521608
555,mean,0.3,1.0002876218600543,0.7184205542579383,0.6054829242431318,0.4679925962376022,0.44801213231405707
555,median,0.3,1.0236013209747594,0.7272206950510088,0.6114516378515205,0.4640217092812925,0.4585515619074521
555,knn_k10,0.3,0.8941980486529602,0.7364116513917663,0.6269059007876792,0.3625856230780354,0.31102913983041086
555,softimpute,0.3,0.902380190023337,0.7248736975206265,0.6265802655039383,0.2763495662464875,0.67029069696221
555,masked_nmf,0.3,0.9994695449561822,0.33945993614575143,0.2496645891986616,0.7779057144599734,327.57638154983977
555,mice,0.3,0.8753102077944965,0.7104018532653089,0.6145017212452256,0.25275197456424114,0.5927813768511696
555,iterativesvd,0.3,0.9411663501530289,0.720181041524391,0.6249412716830587,0.34103453120624294,0.7162050669903035
555,missforest,0.3,0.6894265041209371,0.7851021419293625,0.6959465886600386,0.2208087488716452,0.452392208152902
555,pica,0.3,0.8878064184023763,0.7152921169271147,0.6138331535125129,0.30708854433811106,0.4609354083071344
31337,mean,0.3,1.000278242850428,0.7176385405726988,0.6025986451465625,0.43446027414297544,0.4470651029007374
31337,median,0.3,1.0242431321767633,0.7201823805889206,0.6033480824841482,0.4300342706277917,0.45543070213554854
