frac,seed,method,new,ref,delta
0.35,456,masked_nmf,1.0666192688220966,1.0666192688220963,2.220446049250313e-16
0.35,789,knn_k10,1.007307452704466,1.0073078673867082,4.146822421002838e-07
0.35,789,softimpute,0.9975882438637028,0.9954784693613152,0.0021097745023875847
0.35,789,masked_nmf,1.0426057995979952,1.0426057995979952,0.0
0.35,1024,knn_k10,1.052658699402294,1.0519168412183817,0.0007418581839122584
0.35,1024,softimpute,0.971165718231699,0.9706774436954704,0.0004882745362285723
0.35,1024,masked_nmf,1.025765169338086,1.025765169338086,0.0
0.4,123,knn_k10,1.1378295863196715,1.1379747949935914,0.00014520867391998316
0.4,123,softimpute,1.011870572344879,1.0137927594629728,0.0019221871180936656
0.4,123,masked_nmf,1.0612925150243662,1.0612925150243662,0.0
0.4,456,knn_k10,1.0722003839912146,1.0722003839912146,0.0
0.4,456,softimpute,0.9981135580396352,0.9952918132280468,0.002821744811588367
0.4,456,masked_nmf,1.0537232324846522,1.0537232324846524,2.220446049250313e-16
0.4,789,knn_k10,1.0517330590042764,1.0517330590042764,0.0
0.4,789,softimpute,1.0015159263702729,1.0016358429487804,0.00011991657850751736
0.4,789,masked_nmf,1.0115860677035355,1.0115860677035358,2.220446049250313e-16
0.4,1024,knn_k10,1.1016523854471638,1.1025130599750694,0.0008606745279056138
0.4,1024,softimpute,0.98539027598659,0.9854792167419784,8.894075538834478e-05
0.4,1024,masked_nmf,1.0566868019946873,1.0566868019946876,2.220446049250313e-16
0.45,123,knn_k10,1.1246766919354578,1.129145683539956,0.004468991604498207
0.45,123,softimpute,1.0302529481997138,1.0289694930762112,0.001283455123502586
0.45,123,masked_nmf,1.0858305408061235,1.0858305408061235,0.0
0.45,456,knn_k10,1.2070512171173386,1.2059808294846073,0.0010703876327313733
0.45,456,softimpute,0.9941931104099293,0.9925780477444786,0.0016150626654507505
0.45,456,masked_nmf,1.070594160381351,1.070594160381351,0.0
0.45,789,knn_k10,1.077461976177164,1.0810577130147434,0.0035957368375794108
0.45,789,softimpute,1.00128576867783,1.0016793277586988,0.0003935590808687994
0.45,789,masked_nmf,1.0274194690879115,1.0274194690879117,2.220446049250313e-16
0.45,1024,knn_k10,1.1049367058010275,1.1049026557670365,3.4050033991039896e-05
0.45,1024,softimpute,0.9921193926979776,0.9935775198816134,0.0014581271836358045
0.45,1024,masked_nmf,1.1620104590543312,1.1620104590543312,0.0
0.5,123,knn_k10,1.1395722653800544,1.1395721738219788,9.155807556560092e-08
0.5,123,softimpute,1.0599296630815354,1.0647502584516977,0.004820595370162328
0.5,123,masked_nmf,1.0550657868064826,1.0550657868064826,0.0
0.5,456,knn_k10,1.1941634810130142,1.1947175585202985,0.0005540775072843118
0.5,456,softimpute,1.0594764049400898,1.0588003997634936,0.0006760051765961617
0.5,456,masked_nmf,1.2041500648911292,1.2041500648911287,4.440892098500626e-16
0.5,789,knn_k10,1.0899108296401097,1.089846635562948,6.419407716173886e-05
0.5,789,softimpute,1.0121771900420253,1.0082103761142285,0.003966813927796853
0.5,789,masked_nmf,1.1072946811852287,1.1072946811852284,2.220446049250313e-16
0.5,1024,knn_k10,1.1684745152134717,1.1701728996785823,0.001698384465110614
0.5,1024,softimpute,1.0009338466106121,1.0009459770402278,1.2130429615675453e-05
0.5,1024,masked_nmf,1.331197264386459,1.3311972643864587,2.220446049250313e-16
