method,target,target_type,regressor,cv_seed,r2,rmse
mean,Carbohydrate,macro,rf,2,0.9218262994776248,6.841921396661635
mean,Carbohydrate,macro,rf,3,0.9138557691303241,7.240125644461761
mean,Carbohydrate,macro,rf,4,0.923202879818527,6.873771326772868
mean,Carbohydrate,macro,ridge,0,0.9476937140983782,5.631240494485803
mean,Carbohydrate,macro,ridge,1,0.930856716097814,6.240944629484387
mean,Carbohydrate,macro,ridge,2,0.9424147770072823,5.744670855641963
mean,Carbohydrate,macro,ridge,3,0.9463951198761897,5.715408786850292
mean,Carbohydrate,macro,ridge,4,0.9489256503471525,5.561190937391787
mean,Carbohydrate,macro,knr,0,0.8123583505865903,10.763450807689841
mean,Carbohydrate,macro,knr,1,0.8059584850500953,10.80401220619693
mean,Carbohydrate,macro,knr,2,0.8005371833505837,11.05366499292452
mean,Carbohydrate,macro,knr,3,0.8039314641615677,10.943980352715714
mean,Carbohydrate,macro,knr,4,0.807729667276389,10.91674356578548
mean,Calcium,micro,rf,0,0.4571214039772752,244.96183595117722
mean,Calcium,micro,rf,1,0.3799862953175861,245.044337510492
mean,Calcium,micro,rf,2,0.4656558745725542,236.00604760692482
mean,Calcium,micro,rf,3,0.2615517555782638,243.68051988936364
mean,Calcium,micro,rf,4,0.3182337838821332,254.3381016111593
mean,Calcium,micro,ridge,0,0.423200087448205,253.97658635384
mean,Calcium,micro,ridge,1,0.027255719319805104,317.8686508621355
mean,Calcium,micro,ridge,2,-0.34003541063854187,340.0597238781145
mean,Calcium,micro,ridge,3,-0.772004073823637,354.8109652193706
mean,Calcium,micro,ridge,4,-0.15327422608631563,313.319347960252
mean,Calcium,micro,knr,0,0.47321914078269744,239.47863546686125
mean,Calcium,micro,knr,1,0.39233005442922114,243.07333506800373
mean,Calcium,micro,knr,2,0.47282852649968576,234.5010374083773
mean,Calcium,micro,knr,3,0.4084601946745957,238.18802807215033
mean,Calcium,micro,knr,4,0.44843666323456405,234.81359842159554
mean,Iron,micro,rf,0,0.08747062828435867,5.16629584217582
mean,Iron,micro,rf,1,0.13320933450504,5.036427014282272
mean,Iron,micro,rf,2,0.09872053782147083,5.245073756229543
mean,Iron,micro,rf,3,0.08689912502456995,5.152298089874299
mean,Iron,micro,rf,4,0.18173159905825212,5.034903872313221
mean,Iron,micro,ridge,0,-0.9489732850570016,6.356749086961193
mean,Iron,micro,ridge,1,-0.9307864925435982,6.387721487049225
mean,Iron,micro,ridge,2,-0.22321078524048482,5.900172935335537
mean,Iron,micro,ridge,3,-0.4501264848170864,6.101928743409131
mean,Iron,micro,ridge,4,-0.7328544590411898,6.743953956243573
mean,Iron,micro,knr,0,-0.048589708418098065,5.528210499808961
mean,Iron,micro,knr,1,0.025337264709747353,5.321805392400763
mean,Iron,micro,knr,2,0.0433891389726714,5.404076158286116
mean,Iron,micro,knr,3,0.038423144319356964,5.388005367676358
mean,Iron,micro,knr,4,-0.024817055183301972,5.564589854801748
mean,Vitamin_C,micro,rf,0,0.19154477500743788,22.894212687079367
mean,Vitamin_C,micro,rf,1,0.21250027101232308,22.866841712444007
mean,Vitamin_C,micro,rf,2,0.21790602275743698,22.36314239957318
mean,Vitamin_C,micro,rf,3,0.19046494795324467,22.59361986091782
mean,Vitamin_C,micro,rf,4,0.20631831488801017,22.77078134995825
mean,Vitamin_C,micro,ridge,0,0.07364676245132876,24.47955183122019
mean,Vitamin_C,micro,ridge,1,0.040259817159665603,25.14345442666052
mean,Vitamin_C,micro,ridge,2,-0.10382704330872398,25.633189431621286
mean,Vitamin_C,micro,ridge,3,0.06793798019568328,24.640446094328947
mean,Vitamin_C,micro,ridge,4,0.09804335742894525,24.352983355513704
mean,Vitamin_C,micro,knr,0,0.21755620516269425,22.753856432140697
mean,Vitamin_C,micro,knr,1,0.13504290622616522,23.850515983177466
mean,Vitamin_C,micro,knr,2,0.1054211603808207,24.04784884258194
mean,Vitamin_C,micro,knr,3,0.16161822118885774,23.4651489546276
mean,Vitamin_C,micro,knr,4,0.15908999507673877,23.4956494633674
median,Protein,macro,rf,0,0.721450467876352,6.035891885014085
median,Protein,macro,rf,1,0.7013939391983064,6.247537679045881
median,Protein,macro,rf,2,0.7030003672410773,6.184958305426666
median,Protein,macro,rf,3,0.6952469126888783,6.232727872299666
median,Protein,macro,rf,4,0.7007548284069041,6.2045880583594855
