seed,method,nrmse,clf_acc,clf_f1,cov_relerr,prec_relerr
1337,mice,0.7372704615864869,0.7811888214893076,0.6946452019067318,0.1925910265373938,0.5331993291580437
1337,iterativesvd,0.8477083078431378,0.780213217332086,0.6929940040136308,0.2327179766203524,0.3993445813305945
1337,missforest,0.6939604001647829,0.8159970387544403,0.7312229219225501,0.1908888965925598,0.4488042353254972
1337,pica,0.7693120446713719,0.7772787530631101,0.6874611702551092,0.2155006937031828,0.4273662509846545
2024,mean,1.0003212382273927,0.7630058555378927,0.6540480631482373,0.2848523847888551,0.3735085511289222
2024,median,1.0241286117397592,0.7637876779281993,0.6452782956973226,0.2812294875700724,0.3869617507592004
2024,knn_k10,0.8096126621835736,0.7985932170642732,0.7093376048744987,0.1844436654111679,0.1975098018484307
2024,softimpute,0.8402465335221347,0.7792364654052679,0.6881918282621078,0.197127933730063,0.196409933836925
2024,masked_nmf,0.9932737296828094,0.3799356483846099,0.2998121100009375,0.7795529064882971,1098.1199323050128
2024,mice,0.7926168491230963,0.7776714815601249,0.6883250303065912,0.1532749144504958,0.2819825840214385
2024,iterativesvd,0.8921942914275025,0.7768904243495494,0.678803902927913,0.2449049233522439,0.2027342798163161
2024,missforest,0.6390437545986201,0.8116953896008248,0.7214393322850687,0.116406923598015,0.1950223261039801
2024,pica,0.9572949464735336,0.7686790893596019,0.6742577797361107,0.7972526585767571,0.2793300916541302
7,mean,1.0002965163012205,0.7631986808301435,0.6594753119560703,0.26776024521086983,0.3706148208708603
7,median,1.0302280286634184,0.76495668126247,0.6585292039325534,0.2638716422660412,0.38193106734640603
7,knn_k10,0.8224834224976445,0.7870552631931332,0.693359455515431,0.15648845278205623,0.21010907318604616
7,softimpute,0.8370676157875374,0.7719970999688189,0.6846554774907792,0.14188141694710946,0.20696805511215438
7,masked_nmf,0.9887450986475768,0.3846281130859125,0.3049871977509869,0.7778709473047335,977.2439050507429
7,mice,0.7724782206243375,0.7778629677878462,0.6874304238076319,0.12158139042548893,0.2981259021862628
7,iterativesvd,0.8583358857720552,0.7686752634609462,0.6826321771714579,0.16452983810055852,0.2537892172128202
7,missforest,0.623380039928876,0.8107165334297459,0.7218982712081623,0.09698198493621901,0.20171138232027275
7,pica,0.7970310723773654,0.7725841841175469,0.6817400055210191,0.13765544136352661,0.22423226156587509
99,mean,1.0005362693548905,0.7700449351797121,0.6688812515457301,0.25537073571465274,0.3443383588723471
99,median,1.0395179921672242,0.771608962550191,0.6573585705483345,0.2521888066041425,0.3570877369690611
99,knn_k10,0.7504337523395093,0.7964419142501333,0.7042880777420721,0.1674529678916117,0.16989209867620383
99,softimpute,0.8941221247972693,0.7755215178105147,0.686917094766199,0.1556511798101509,0.2162689920298424
99,masked_nmf,0.9990825994686621,0.374656482124445,0.30236338646477445,0.7707094415492649,394.8687661815079
99,mice,0.8859766328201428,0.7835371580842195,0.698477798908369,0.12783063720118068,0.26482070464414675
99,iterativesvd,0.9293756581597528,0.7811907344386354,0.6922837222922918,0.20554443979071185,0.23827144306538892
99,missforest,0.6453063072727154,0.8193211708015067,0.7321534098647549,0.09372771789356074,0.17877872179142748
99,pica,0.82447460620381,0.77767320321452,0.6856178761777794,0.1349874219956379,0.20793831836027604
555,mean,1.0006528707832198,0.7718044659715009,0.6709454507477741,0.33202450997891075,0.36251213373306473
555,median,1.0258424959926997,0.7659391720372719,0.6564642059873036,0.33003999098597675,0.377653790218216
555,knn_k10,0.8325005604301652,0.7976170390222533,0.7045155902066389,0.24059163167815142,0.2058256445128483
555,softimpute,0.8332485843514079,0.7788423978437236,0.6864746863039989,0.1909506143472732,0.3537618826625964
555,masked_nmf,0.9910480841637197,0.37407111963011214,0.28925728484074453,0.7701080818041438,279.41591846508
555,mice,0.8336827738283108,0.7763041053805526,0.6877308175872927,0.18973958400311272,0.42317145217866103
555,iterativesvd,0.926942613611882,0.7796257505934925,0.6901645123213347,0.25262756659308655,0.28792679201328375
555,missforest,0.6565314008116192,0.8212763963095382,0.7414454447486436,0.19155946928421286,0.2765580678425156
555,pica,0.8321582706480302,0.7735638054683569,0.6879567489200527,0.18750919757678156,0.32648634894322454
31337,mean,1.0002426690779866,0.7647651950347487,0.6722522072814454,0.29203668016263123,0.36667611589916727
31337,median,1.0257985548905113,0.7714136504238139,0.6706190056688573,0.2892644905224049,0.3814369594684242
31337,knn_k10,0.7844159520344018,0.7933134769193099,0.6988815461689534,0.2000948772259158,0.18957883420252547
31337,softimpute,0.9046980301876216,0.7782555049899283,0.6906322258724928,0.2033356437276911,0.28783673184432995
31337,masked_nmf,0.9962861585168487,0.3777833890958062,0.3007544639741967,0.7716823181440372,853.8079061130802
31337,mice,0.8269455828226441,0.7757149169875639,0.6930520746178457,0.15340128896913405,0.39264296312517794
31337,iterativesvd,0.9165523212447317,0.7798183845908105,0.6952698339335488,0.2514441196900601,0.3340182076331333
31337,missforest,0.7765136338456219,0.8159966561645747,0.7375989627540802,0.15190682482540827,0.27208873249118193
31337,pica,0.7887571131801631,0.7682838740284609,0.682515677664016,0.14742736611397636,0.30240297252563236
