method,target,target_type,regressor,cv_seed,r2,rmse
median,Carbohydrate,macro,ridge,1,0.9514531285798566,5.068821196855488
median,Carbohydrate,macro,ridge,2,0.9567925687810945,4.99970478874326
median,Carbohydrate,macro,ridge,3,0.9593994350754966,4.8344082840345095
median,Carbohydrate,macro,ridge,4,0.9570853296515471,4.935447219216274
median,Carbohydrate,macro,knr,0,0.940423302307247,6.226668341675816
median,Carbohydrate,macro,knr,1,0.9425284589570682,6.149841902901402
median,Carbohydrate,macro,knr,2,0.9389886969080402,6.318325544178477
median,Carbohydrate,macro,knr,3,0.9422731085301796,6.151874908220323
median,Carbohydrate,macro,knr,4,0.941482467811479,6.2053837210088005
median,Calcium,micro,rf,0,0.5129963112670023,133.00092026326794
median,Calcium,micro,rf,1,0.5859678411769049,128.19956086587956
median,Calcium,micro,rf,2,0.6193631300480511,125.03253507911745
median,Calcium,micro,rf,3,0.44607711604934225,145.34544724805417
median,Calcium,micro,rf,4,0.5800248546942746,126.8969379468169
median,Calcium,micro,ridge,0,-0.4163813019156371,190.8472521022011
median,Calcium,micro,ridge,1,0.021523690120667505,189.81309756710303
median,Calcium,micro,ridge,2,0.04887810919878195,191.4046313077334
median,Calcium,micro,ridge,3,-0.7793537887669023,207.94341037214934
median,Calcium,micro,ridge,4,-0.45892327424932206,194.12105406984605
median,Calcium,micro,knr,0,0.49071682695611385,141.08612902973522
median,Calcium,micro,knr,1,0.5064295228810132,141.64376458846723
median,Calcium,micro,knr,2,0.5358139230742618,138.09509966526238
median,Calcium,micro,knr,3,0.4886917222375085,142.91242203374873
median,Calcium,micro,knr,4,0.5344400208993836,137.42564068066264
median,Iron,micro,rf,0,0.623753311151251,3.305674707208861
median,Iron,micro,rf,1,0.5936750861466233,3.4355766815309687
median,Iron,micro,rf,2,0.6105004046723451,3.3688119058842894
median,Iron,micro,rf,3,0.5905028124786806,3.429703608465639
median,Iron,micro,rf,4,0.5861956493839175,3.43327254591901
median,Iron,micro,ridge,0,0.28154687904138587,4.493168960002699
median,Iron,micro,ridge,1,0.2827466231899621,4.48900367869171
median,Iron,micro,ridge,2,0.3095107956927233,4.49183992333427
median,Iron,micro,ridge,3,0.2128328890425329,4.758915122024353
median,Iron,micro,ridge,4,0.31557653041902445,4.423271385476757
median,Iron,micro,knr,0,0.5907815850658416,3.4334047225351427
median,Iron,micro,knr,1,0.5982811859018659,3.430324601894464
median,Iron,micro,knr,2,0.6052324221157677,3.3892716250439436
median,Iron,micro,knr,3,0.5896848507547781,3.4400358460087768
median,Iron,micro,knr,4,0.602479162037668,3.3469927082388176
median,Vitamin_C,micro,rf,0,-0.22399832340981182,66.54834797626937
median,Vitamin_C,micro,rf,1,-0.5961577455250294,67.09388753088973
median,Vitamin_C,micro,rf,2,-0.21948860885245686,64.42654942178845
median,Vitamin_C,micro,rf,3,-0.8450551560175731,60.39439367326772
median,Vitamin_C,micro,rf,4,0.14832922349474154,58.48323625655013
median,Vitamin_C,micro,ridge,0,-0.4896246070049116,76.03102596822809
median,Vitamin_C,micro,ridge,1,-1.1250778908843975,77.98666284276266
median,Vitamin_C,micro,ridge,2,-1.8309723396380218,76.10865900206105
median,Vitamin_C,micro,ridge,3,-0.8189941961206779,63.12438337894387
median,Vitamin_C,micro,ridge,4,-0.13883493566234958,70.37350353370057
median,Vitamin_C,micro,knr,0,-0.05222027992209037,65.54693876670076
median,Vitamin_C,micro,knr,1,-0.13964198472720962,63.511866523614216
median,Vitamin_C,micro,knr,2,-0.1592202673890258,63.660297894609684
median,Vitamin_C,micro,knr,3,-0.5034981164182323,60.74311975548751
median,Vitamin_C,micro,knr,4,0.09475755152776574,63.27592728855696
knn_k10,Protein,macro,rf,0,0.911886390556915,3.208786766243519
knn_k10,Protein,macro,rf,1,0.9062953436262321,3.300703503981052
knn_k10,Protein,macro,rf,2,0.9073958927487731,3.295659443757254
knn_k10,Protein,macro,rf,3,0.9146206437719238,3.1351983207058742
knn_k10,Protein,macro,rf,4,0.9105669764019371,3.2152248447091067
knn_k10,Protein,macro,ridge,0,0.841287247329733,4.061272421578954
knn_k10,Protein,macro,ridge,1,0.8963256202273664,3.460014979839349
knn_k10,Protein,macro,ridge,2,0.8927530785819124,3.531595042694794
knn_k10,Protein,macro,ridge,3,0.9015179170985771,3.3713041425711245
knn_k10,Protein,macro,ridge,4,0.8935116550625486,3.515375307849259
knn_k10,Protein,macro,knr,0,0.8725675844714942,3.8542918520656917
knn_k10,Protein,macro,knr,1,0.8734036555250289,3.8542595619704927
knn_k10,Protein,macro,knr,2,0.8779771883910161,3.779121609900667
knn_k10,Protein,macro,knr,3,0.8787365388539097,3.770292409328433
knn_k10,Protein,macro,knr,4,0.8727739671023194,3.8576835332266493
knn_k10,Fat,macro,rf,0,0.9924410123668558,1.4191106169468746
knn_k10,Fat,macro,rf,1,0.9925199297437441,1.4057834290169544
knn_k10,Fat,macro,rf,2,0.9927919417790481,1.381773461615445
knn_k10,Fat,macro,rf,3,0.9925184217376689,1.402938206700886
knn_k10,Fat,macro,rf,4,0.9926899811849506,1.3955437832449518
knn_k10,Fat,macro,ridge,0,0.9760629275276544,2.27375239210946
knn_k10,Fat,macro,ridge,1,0.9768248851208357,2.2222790386279456
knn_k10,Fat,macro,ridge,2,0.9784861561406426,2.2243893602811484
knn_k10,Fat,macro,ridge,3,0.980670139217068,2.1202487429758476
