method,target,regressor,r2_mean,r2_std,rmse_mean
mice,Carbohydrate,rf,0.9725612299031765,0.0008304651352014652,4.226686636344057
mice,Carbohydrate,ridge,0.9766319298033806,0.0005221386819323341,3.9033124302001303
mice,Fat,knr,0.9570230695380527,0.0006498554741487519,3.357435941649418
mice,Fat,rf,0.9927584890317405,0.00016735805153097864,1.3845732479858261
mice,Fat,ridge,0.9880504755165347,0.00031156645912116924,1.7705352468159838
mice,Iron,knr,0.6053536351483559,0.013289489239730482,3.37390900009979
mice,Iron,rf,0.6231760979239409,0.015454634481070647,3.2999476062959245
mice,Iron,ridge,0.312753685584557,0.026952146436260246,4.428150268590871
mice,Protein,knr,0.8710316654711441,0.003258204082308229,3.882143260032958
mice,Protein,rf,0.9104969486668534,0.003461795910761203,3.2226133273688164
mice,Protein,ridge,0.8913928207664709,0.008493175092249432,3.5290893209180347
mice,Vitamin_C,knr,-0.039604505620766686,0.11915343026272557,61.80035349214436
mice,Vitamin_C,rf,-0.34619854127063016,0.38751354679923683,63.36806469459642
mice,Vitamin_C,ridge,-0.5366111125448715,0.407434954785075,67.9414967101241
missforest,Calcium,knr,0.5239680612652862,0.02725281171486752,138.2834319545904
missforest,Calcium,rf,0.5522269981669414,0.06274444562668988,131.62538525588874
missforest,Calcium,ridge,-0.257439883751976,0.35072933021975977,191.68622547800018
missforest,Carbohydrate,knr,0.9388609986395707,0.0012526982092212373,6.332194203354504
missforest,Carbohydrate,rf,0.9705491566343266,0.0012042845468139129,4.387951737459646
missforest,Carbohydrate,ridge,0.9705564994544684,0.0021158655554277986,4.304806560920573
missforest,Fat,knr,0.9456887308279296,0.0007177810525916454,3.7868428762782074
missforest,Fat,rf,0.9926333976688358,0.00016180533749186464,1.396175290260595
missforest,Fat,ridge,0.9840835526896312,0.00132941917443049,1.989552747709896
missforest,Iron,knr,0.5953681662163381,0.012400501739160592,3.4214637070386713
missforest,Iron,rf,0.6033863341188519,0.011862947698103223,3.382231682401875
missforest,Iron,ridge,0.3181683071676948,0.02579812131279402,4.418946014236232
missforest,Protein,knr,0.8673441806795561,0.0027214168481408986,3.938948803802308
missforest,Protein,rf,0.9054122316286044,0.006661057189885249,3.3194063397836686
missforest,Protein,ridge,0.885888808030605,0.010564361919809482,3.609313993975577
missforest,Vitamin_C,knr,-0.11338356534268448,0.21709327737804174,62.514189279060346
missforest,Vitamin_C,rf,-0.4030475524547853,0.4123568396259104,64.40522537710216
missforest,Vitamin_C,ridge,-0.7605707886157346,0.6074708125006155,70.7696329492949
pica,Calcium,knr,0.5259954212123342,0.021932608644057376,138.01587489223857
pica,Calcium,rf,0.5693417028694269,0.06456013838479688,128.88048040636284
pica,Calcium,ridge,-0.18927924497973164,0.30880486939064733,187.3434139633743
pica,Carbohydrate,knr,0.9432633339567739,0.001219884000524025,6.100458147917004
pica,Carbohydrate,rf,0.972621614759745,0.0008973385491739148,4.224292488395359
pica,Carbohydrate,ridge,0.9604516457404687,0.0037274522349920428,4.770085785299247
pica,Fat,knr,0.9568867121291544,0.0002686924162646007,3.3659559482383883
pica,Fat,rf,0.9927526703552643,0.0001565700680105358,1.3846774650692066
pica,Fat,ridge,0.9789295365170998,0.002276767679242929,2.1855000914022233
pica,Iron,knr,0.605915189352784,0.0146666738310428,3.367167954940354
pica,Iron,rf,0.6108769130640179,0.015520808219333014,3.351531960334576
pica,Iron,ridge,0.30391498843707626,0.042067852349820335,4.456899083777647
pica,Protein,knr,0.874819978710487,0.004431771692920969,3.8268017698618677
pica,Protein,rf,0.90913112486955,0.004765537260986984,3.2494709806675055
pica,Protein,ridge,0.8523897189959649,0.023928736047697,3.961069556370641
pica,Vitamin_C,knr,-0.15866369867026497,0.17954819495953664,63.213814885490784
pica,Vitamin_C,rf,-0.33271244424228746,0.4014513691712487,62.933480564672564
pica,Vitamin_C,ridge,-0.815100456099785,0.6271268821664719,71.3274224778393
softimpute,Calcium,knr,0.5211290888387289,0.02443088939537115,138.81022221067326
softimpute,Calcium,rf,0.556720660940213,0.06660899122798646,130.6876493754245
softimpute,Calcium,ridge,-0.2536414940163098,0.3188792604186178,191.94356106867954
softimpute,Carbohydrate,knr,0.9414198451387413,0.0019223823509791672,6.196186998342009
softimpute,Carbohydrate,rf,0.972550023940648,0.0010400621424977467,4.23346420745826
softimpute,Carbohydrate,ridge,0.9580407381014581,0.003523152583923223,4.867531875660583
softimpute,Fat,knr,0.9569260549668221,0.0005665918324820806,3.362785342067427
softimpute,Fat,rf,0.9927763977213596,0.0001903919302159546,1.3824509431349299
softimpute,Fat,ridge,0.9777681397084367,0.0022065413618195984,2.2252945080166495
softimpute,Iron,knr,0.5993610667417448,0.005887242151241867,3.4005767259758266
softimpute,Iron,rf,0.6346091032928328,0.015102066811614032,3.2498017484926436
softimpute,Iron,ridge,0.27237426813137133,0.055884731647302816,4.5427336002363985
softimpute,Protein,knr,0.8706489635447909,0.00411855857829778,3.8881317006231733
softimpute,Protein,rf,0.9138030930392004,0.003483693297695551,3.1629661007839003
softimpute,Protein,ridge,0.847490177953933,0.02663043451649459,4.001799550573379
softimpute,Vitamin_C,knr,-0.11408451699792996,0.20490488921854297,62.70433507305315
softimpute,Vitamin_C,rf,-0.6724182549721507,0.6232695206125766,67.33134872806978
softimpute,Vitamin_C,ridge,-0.9384580800957837,0.7261436073634071,73.18691263637342
