method,target,regressor,r2_mean,r2_std,rmse_mean
mean,Vitamin_C,rf,-0.3047416368652955,0.350117947876453,62.900083396962465
mean,Vitamin_C,ridge,-0.9169600515932406,0.6859991171803117,73.06941551485599
median,Calcium,knr,0.5112184032096562,0.02288494311136071,140.23261119957525
median,Calcium,rf,0.548885850647115,0.06922689768610535,131.69508028062722
median,Calcium,ridge,-0.3168513131224824,0.35080438065824393,194.82588908380657
median,Carbohydrate,knr,0.9411392069028028,0.0014552314978883345,6.210418883596963
median,Carbohydrate,rf,0.9741499532450868,0.0007873004977145142,4.106012429513574
median,Carbohydrate,ridge,0.955301749680344,0.0035150178937492734,4.982308045098496
median,Fat,knr,0.9559646840542021,0.0006211602023484874,3.4023068084316876
median,Fat,rf,0.9928498944489746,0.0001498598904986597,1.375249497320802
median,Fat,ridge,0.9766439565325437,0.002165017155500654,2.264621833794698
median,Iron,knr,0.5972918411751842,0.006913567535251155,3.4080059007442287
median,Iron,rf,0.6009254527665635,0.015739736154196833,3.3946078898017538
median,Iron,ridge,0.2804427434771257,0.040795079477278125,4.531239813905958
median,Protein,knr,0.8688661243820672,0.002796183800605399,3.919072509809433
median,Protein,rf,0.9115197763567424,0.003094230681345614,3.2080812578217186
median,Protein,ridge,0.8341235289832074,0.028011268431686078,4.13487151369986
median,Vitamin_C,knr,-0.15196461938575848,0.22056804741625732,63.34763004579382
median,Vitamin_C,rf,-0.34727412206202596,0.3830397341792893,63.38928297175308
median,Vitamin_C,ridge,-0.8807007938620718,0.646113267151054,72.72484694513925
mice,Calcium,knr,0.5142450843823319,0.025451511586257608,139.6982652908492
mice,Calcium,rf,0.5512948339117884,0.064021990863158,131.43772195166852
mice,Calcium,ridge,0.2210818530101189,0.14592286713459762,163.72686214202557
mice,Carbohydrate,knr,0.942829216263679,0.001659337178785096,6.123383396356227
mice,Carbohydrate,rf,0.9725879832389623,0.000774165807387248,4.225602590161079
mice,Carbohydrate,ridge,0.9679882970521367,0.0028214618376179476,4.440690499367301
mice,Fat,knr,0.9565083226263293,0.0008806282678621847,3.3771033836729067
mice,Fat,rf,0.9927374247811063,0.00014950082040885516,1.38665254803724
mice,Fat,ridge,0.9838341687612868,0.0015715009063951128,1.9985813664263898
mice,Iron,knr,0.5933341922751804,0.01175294206780622,3.418233475878305
mice,Iron,rf,0.6011870979897301,0.017415714622510327,3.393167968973527
mice,Iron,ridge,0.2877361388002376,0.05076299147064678,4.503559738656837
mice,Protein,knr,0.8694518457244447,0.004091440765756582,3.906308742050311
mice,Protein,rf,0.9112366177957734,0.005162723866437497,3.208507351000847
mice,Protein,ridge,0.8740023214810572,0.014601042036478606,3.755565832703404
